start_time,end_time,source_host,source_port,receiver_host,receiver_port,bytes_transferred,bytes_received
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55018,42,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55019,36,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55021,32,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55017,36,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55023,60,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55012,43,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55002,37,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55010,43,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55004,27,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55024,32,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55011,62,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55006,41,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55036,44,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55034,44,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55037,32,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55039,32,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55047,32,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55050,35,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55058,36,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55055,35,0
1657267802000,1657267802000,192.168.137.250,55061,93.184.220.29,80,371,799
1657267802000,1657267805000,192.168.137.250,55014,149.154.175.53,443,46483,2403666
1657267802000,1657267802000,192.168.137.250,55038,31.13.72.48,5222,431,593
1657267802000,1657267802000,192.168.137.250,55000,192.168.137.1,53,232,0
1657267802000,1657267802000,192.168.137.250,55002,192.168.137.1,53,201,0
1657267802000,1657267802000,192.168.137.250,55004,192.168.137.1,53,43,0
1657267802000,1657267802000,192.168.137.250,55006,192.168.137.1,53,107,0
1657267802000,1657267802000,192.168.137.250,55006,74.125.131.188,5228,28,26
1657267802000,1657267802000,192.168.137.250,55010,192.168.137.1,53,200,0
1657267802000,1657267802000,192.168.137.250,55011,192.168.137.1,53,128,0
1657267802000,1657267802000,192.168.137.250,55012,192.168.137.1,53,233,0
1657267802000,1657267802000,192.168.137.250,55017,192.168.137.1,53,144,0
1657267802000,1657267802000,192.168.137.250,55018,192.168.137.1,53,115,0
1657267802000,1657267802000,192.168.137.250,55019,192.168.137.1,53,202,0
1657267802000,1657267802000,192.168.137.250,55021,192.168.137.1,53,128,0
1657267802000,1657267804000,192.168.137.250,55023,192.168.137.1,53,536,0
1657267802000,1657267802000,192.168.137.250,55024,192.168.137.1,53,71,0
1657267802000,1657267802000,192.168.137.1,53,192.168.137.250,55000,37,0
1657267802000,1657267805000,192.168.137.250,55031,17.57.146.133,5223,8352,5494
1657267802000,1657267802000,192.168.137.250,55034,192.168.137.1,53,123,0
1657267802000,1657267802000,192.168.137.250,55036,192.168.137.1,53,60,0
1657267802000,1657267802000,192.168.137.250,55035,8.8.8.8,53,32,0
1657267802000,1657267802000,192.168.137.250,55039,192.168.137.1,53,64,0
1657267802000,1657267802000,192.168.137.250,55037,192.168.137.1,53,82,0
1657267802000,1657267802000,192.168.137.250,55042,149.154.175.50,80,0,0
1657267802000,1657267802000,192.168.137.250,55047,192.168.137.1,53,82,0
1657267802000,1657267802000,192.168.137.250,55048,17.248.150.141,443,1856,7782
1657267802000,1657267802000,192.168.137.250,55050,192.168.137.1,53,132,0
1657267802000,1657267805000,192.168.137.250,55051,17.188.182.8,3485,5648,0
1657267802000,1657267802000,192.168.137.250,55055,192.168.137.1,53,83,0
1657267802000,1657267802000,192.168.137.250,55058,192.168.137.1,53,104,0
1657267802000,1657267802000,192.168.137.250,55061,93.184.220.29,80,371,799
1657267802000,1657267802000,192.168.137.250,55016,149.154.167.51,443,169,5
1657267802000,1657267802000,192.168.137.250,55009,149.154.167.51,443,185,5
1657267802000,1657267802000,192.168.137.250,55015,149.154.167.51,80,105,101
1657267802000,1657267802000,192.168.137.250,55027,95.161.76.100,5222,105,101
1657267802000,1657267802000,192.168.137.250,55013,149.154.167.51,443,105,101
1657267802000,1657267802000,192.168.137.250,55030,95.161.76.100,80,105,101
1657267802000,1657267802000,192.168.137.250,55022,149.154.167.41,80,105,101
1657267802000,1657267802000,192.168.137.250,55020,149.154.167.51,5222,105,101
1657267802000,1657267802000,192.168.137.250,55028,149.154.167.50,5222,105,101
1657267802000,1657267802000,192.168.137.250,55017,149.154.167.41,5222,105,101
1657267802000,1657267802000,192.168.137.250,55019,149.154.167.41,5222,105,101
1657267802000,1657267802000,192.168.137.250,55024,149.154.167.41,80,105,101
1657267802000,1657267802000,192.168.137.250,55021,149.154.167.41,443,105,101
1657267802000,1657267802000,192.168.137.250,55026,149.154.167.50,443,105,101
1657267802000,1657267802000,192.168.137.250,55018,149.154.167.41,443,105,101
1657267802000,1657267802000,192.168.137.250,55025,95.161.76.100,443,105,101
1657267802000,1657267802000,192.168.137.250,55032,149.154.167.41,443,0,0
1657267802000,1657267802000,192.168.137.250,55023,149.154.167.50,80,105,101
1657267802000,1657267802000,192.168.137.250,55041,149.154.167.41,443,0,0
1657267802000,1657267802000,192.168.137.250,55034,149.154.167.41,443,105,101
1657267802000,1657267802000,192.168.137.250,55029,149.154.167.41,443,0,0
1657267802000,1657267802000,192.168.137.250,55014,149.154.175.53,443,185,5
1657267802000,1657267802000,192.168.137.250,55039,149.154.175.53,5222,105,101
1657267802000,1657267802000,192.168.137.250,55038,149.154.175.53,443,105,101
1657267802000,1657267802000,192.168.137.250,55044,149.154.175.50,5222,105,101
1657267802000,1657267802000,192.168.137.250,55040,149.154.175.50,443,105,101
1657267802000,1657267802000,192.168.137.250,55037,149.154.175.53,80,105,101
1657267802000,1657267802000,192.168.137.250,55046,149.154.175.53,443,105,101
1657267802000,1657267802000,192.168.137.250,55033,149.154.175.53,80,105,101
1657267802000,1657267802000,192.168.137.250,55036,149.154.175.53,443,105,101
1657267802000,1657267802000,192.168.137.250,55035,149.154.175.53,5222,105,101
1657267802000,1657267802000,192.168.137.250,55047,95.161.76.100,443,386,363
1657267802000,1657267802000,192.168.137.250,55043,95.161.76.100,443,0,0
1657267802000,1657267802000,192.168.137.250,55050,95.161.76.100,443,0,0
1657267802000,1657267802000,192.168.137.250,55045,95.161.76.100,443,843,830
1657267802000,1657267802000,192.168.137.250,55048,95.161.76.100,443,0,0
1657267802000,1657267802000,192.168.137.250,55056,95.161.76.100,443,562,507
1657267802000,1657267802000,192.168.137.250,55052,149.154.175.53,443,843,830
1657267802000,1657267802000,192.168.137.250,55014,149.154.167.151,443,201,5
1657267802000,1657267802000,192.168.137.250,55051,149.154.175.53,443,402,363
1657267802000,1657267802000,192.168.137.250,55058,149.154.175.53,443,0,0
1657267802000,1657267802000,192.168.137.250,55020,149.154.167.151,80,105,101
1657267802000,1657267802000,192.168.137.250,55018,149.154.167.151,5222,105,101
1657267802000,1657267802000,192.168.137.250,55054,95.161.76.100,443,9699,108866
1657267802000,1657267802000,192.168.137.250,55016,149.154.167.151,443,0,0
1657267802000,1657267802000,192.168.137.250,55013,149.154.167.151,443,0,0
1657267802000,1657267802000,192.168.137.250,55049,95.161.76.100,443,692,2032
